STORE_ID,POS,IS_SELF_CHECKOUT,TIME_BLOCK,NUMBER_OF_TICKETS,NUMBER_OF_ITEMS
1,01,false,2023-01-02 07:00:00.000,16,26
1,01,false,2023-01-02 07:30:00.000,20,69
1,01,false,2023-01-02 08:00:00.000,21,43
1,01,false,2023-01-02 08:30:00.000,10,20
1,01,false,2023-01-02 09:00:00.000,16,32
1,01,false,2023-01-02 09:30:00.000,15,36
1,01,false,2023-01-02 10:00:00.000,15,34
1,01,false,2023-01-02 10:30:00.000,14,35
1,01,false,2023-01-02 11:00:00.000,16,34
1,01,false,2023-01-02 11:30:00.000,16,44
1,01,false,2023-01-02 12:00:00.000,13,45
1,01,false,2023-01-02 12:30:00.000,19,60
1,01,false,2023-01-02 13:00:00.000,10,28
1,01,false,2023-01-02 13:30:00.000,19,34
1,01,false,2023-01-02 14:00:00.000,14,44
1,01,false,2023-01-02 14:30:00.000,17,51
1,01,false,2023-01-02 15:00:00.000,17,44
1,01,false,2023-01-02 15:30:00.000,15,57
1,01,false,2023-01-02 16:00:00.000,15,41
1,01,false,2023-01-02 16:30:00.000,15,37
1,01,false,2023-01-02 17:00:00.000,17,41
1,01,false,2023-01-02 17:30:00.000,10,34
1,01,false,2023-01-02 18:00:00.000,16,37
1,01,false,2023-01-02 18:30:00.000,15,34
1,01,false,2023-01-02 19:00:00.000,14,24
1,01,false,2023-01-02 19:30:00.000,11,29
1,01,false,2023-01-02 20:00:00.000,12,34
1,01,false,2023-01-02 20:30:00.000,8,26
1,01,false,2023-01-02 21:00:00.000,1,1
1,01,false,2023-01-03 07:00:00.000,13,26
1,01,false,2023-01-03 07:30:00.000,15,39
1,01,false,2023-01-03 08:00:00.000,17,59
1,01,false,2023-01-03 08:30:00.000,17,37
1,01,false,2023-01-03 09:00:00.000,14,24
1,01,false,2023-01-03 09:30:00.000,13,55
1,01,false,2023-01-03 10:00:00.000,7,26
1,01,false,2023-01-03 10:30:00.000,12,35
1,01,false,2023-01-03 11:00:00.000,16,34
1,01,false,2023-01-03 11:30:00.000,20,55
1,01,false,2023-01-03 12:00:00.000,16,51
1,01,false,2023-01-03 12:30:00.000,17,40
1,01,false,2023-01-03 13:00:00.000,12,23
1,01,false,2023-01-03 13:30:00.000,19,30
1,01,false,2023-01-03 14:00:00.000,15,29
1,01,false,2023-01-03 14:30:00.000,11,43
1,01,false,2023-01-03 15:00:00.000,16,41
1,01,false,2023-01-03 15:30:00.000,18,51
1,01,false,2023-01-03 16:00:00.000,17,37
1,01,false,2023-01-03 16:30:00.000,10,16
1,01,false,2023-01-03 17:00:00.000,19,40
1,01,false,2023-01-03 17:30:00.000,14,30
1,01,false,2023-01-03 18:00:00.000,18,38
1,01,false,2023-01-03 18:30:00.000,13,29
1,01,false,2023-01-03 19:00:00.000,17,68
1,01,false,2023-01-03 19:30:00.000,9,35
1,01,false,2023-01-03 20:00:00.000,9,28
1,01,false,2023-01-03 20:30:00.000,17,38
1,01,false,2023-01-03 21:00:00.000,5,12
1,01,false,2023-01-04 07:00:00.000,14,35
1,01,false,2023-01-04 07:30:00.000,15,29
1,01,false,2023-01-04 08:00:00.000,12,26
1,01,false,2023-01-04 08:30:00.000,18,53
1,01,false,2023-01-04 09:00:00.000,17,33
1,01,false,2023-01-04 09:30:00.000,15,53
1,01,false,2023-01-04 10:00:00.000,20,72
1,01,false,2023-01-04 10:30:00.000,10,29
1,01,false,2023-01-04 11:00:00.000,15,50
1,01,false,2023-01-04 11:30:00.000,15,36
1,01,false,2023-01-04 12:00:00.000,13,29
1,01,false,2023-01-04 12:30:00.000,16,32
1,01,false,2023-01-04 13:00:00.000,10,21
1,01,false,2023-01-04 13:30:00.000,9,28
1,01,false,2023-01-04 14:00:00.000,16,45
